"","Species","Diet","mean.richness","se.richness","mean.shannon","se.shannon"
<<<<<<< HEAD
"1","imitator","detritus",1091.25,74.8569469054142,4.34717503032899,0.210440587056839
"2","imitator","egg fed",1208.33333333333,434.526690140484,5.12821296526003,0.473236182842363
"3","variabilis","detritus",851.333333333333,130.120627795049,4.14422928191964,0.293267149039698
"4","variabilis","egg fed",548,16.9950973322701,3.34268328260723,0.197508379361514
=======
"1","imitator","detritus",1091.25,74.8569469054142,4.36242143284554,0.204343857991473
"2","imitator","egg fed",1208.33333333333,434.526690140484,5.12524233921355,0.485286845433653
"3","variabilis","detritus",851.333333333333,130.120627795049,4.13975025744072,0.297692433551147
"4","variabilis","egg fed",548,16.9950973322701,3.35008063585284,0.199425824443648
>>>>>>> upstream/master
